sentence	label
i need a surgeon who can do an appendectomy	0
who can i see about my diabetes	1
need a male doctor who can perform a hernia repair	0
can i get a cholecystectomy done	0
who is the best at performing a liver resection	0
i need a surgeon in auburndale that can perform  gallbladder removal	0
find me a surgeon who specializes with hernia repair	0
where can i get my tonsilitis looked at	1
i have appendicitis who should i see	1
who should i see for an appendectomy	0
who should i see for a cesarian section	0
who should i see for an hernia repair	0
who should i see for a mastectomy	0
who should i see for a tonsillectomy	0
who should i see for an cholecystectomy	0
im looking for a male doctor for a hernia repair	0
im looking for a female doctor for a mastectomy	0
im looking for a female doctor for a cesarian section	0
im looking for a male doctor for a cesarian section	0
im looking for a male doctor for a tonsillectomy	0
looking for a doctor in auburndale that can help with appendicitis	1
looking for a doctor in westminster that can help with appendicitis	1
looking for a doctor in winter haven that can help with appendicitis	1
looking for a doctor in lake gibson that can help with appendicitis	1
looking for a doctor in lake miriam that can help with appendicitis	1
looking for a doctor in plant city that can help with appendicitis	1
looking for a doctor at pablo campus that can help with appendicitis	1
looking for a doctor at grasslands campus that can help with appendicitis	1
i have diabetes who can help	1
i have diverticulosis who can help	1
i have pancreatitis who can help	1
i have hyperparathyroidism who can help	1
im worried i have breast cancer who should i see	1
im worried i have kidney stones who should i see	1
im worried i have colon cancer who should i see	1
which doctor is the best choice for a mastectomy	0
which doctor is the best choice for a cesarian section	0
which doctor is the best choice for a tonsilectomy	0
which doctor is the best choice for a pancreatectomy	0
which doctor is the best choice for a cholecystectomy	0
mastectomy near auburndale	0
tonsilectiomy near auburndale	0
pancreatectomy near auburndale	0
colonoscopy near auburndale	0
mastectomy near winter haven	0
tonsilectiomy near winter haven	0
pancreatectomy near winter haven	0
colonoscopy near winter haven	0
looking for a male doctor in auburndale who specializes in hernia repair	0
looking for a male doctor in parkview who specializes in hernia repair	0
looking for a female doctor in auburndale who specializes in cesarian section	0
looking for a male doctor in morrell who specializes in hernia repair	0
looking for a female doctor in auburndale who specializes in gallstone removal	0
looking for a male doctor in lake gibson who specializes in cholecystectomy	0
looking for a male doctor in winter haven who specializes in tonsilectomy	0
looking for a female doctor in lake miriam who specializes in mastectomy	0
looking for a male doctor at pablo campus who specializes in pancreatectomy	0
looking for a female doctor at north campus who specializes in appendectomy	0
i have been diagnosed with appendicitis who should i see	1
i have been diagnosed with pancreatitis who should i see	1
i have been diagnosed with tonsilitis who should i see	1
i have been diagnosed with diabetes who should i see	1
i have been diagnosed with hepatitis who should i see	1
is there a male doctor in winter haven who can help with tonsilitis	1
is there a male doctor in lake gibson who can help with pancreatitis	1
